order_id,date,week,month,division,product_line,material,operator_id,machine_id,shift,planned_qty,actual_qty,good_qty,defect_qty,scrap_qty,rework_qty,defect_rate,yield_rate,std_cycle_time_min,actual_cycle_time_min,cycle_time_variance_pct,promised_lead_days,actual_lead_days,on_time_delivery,downtime_minutes,material_cost_per_unit,labor_cost_per_unit,overhead_per_unit,unit_price,total_production_cost,scrap_cost,rework_cost,revenue,gross_margin
ORD-00138,2024-01-03,1,2024-01,North,Precision Bearings,Bronze C932,OP-013,MCH-03,Day,125,116,113,3,1,2,0.0259,0.9741,12.5,11.9,-4.8,10,10,1,0,22.0,6.94,10.41,55.02,4564.6,25.47,10.41,6217.26,0.2658
ORD-02739,2024-01-03,1,2024-01,North,Shaft Components,Steel 4140,OP-010,MCH-13,Swing,75,55,54,1,0,1,0.0182,0.9818,10.0,12.11,21.1,10,8,1,0,8.5,7.06,10.59,38.38,1438.25,0.0,5.29,2072.52,0.306
ORD-01136,2024-01-03,1,2024-01,North,Precision Bearings,Bronze C932,OP-007,MCH-02,Night,200,151,144,7,4,3,0.0464,0.9536,12.5,14.36,14.88,10,10,1,0,22.0,8.38,12.57,64.19,6485.45,104.76,18.86,9243.36,0.2984
ORD-03646,2024-01-03,1,2024-01,South,Hydraulic Valves,Aluminum 6061,OP-012,MCH-10,Day,100,85,81,4,1,3,0.0471,0.9529,18.0,19.48,8.22,3,3,1,0,12.0,11.36,17.04,51.98,3434.0,17.68,25.56,4210.38,0.1844
ORD-00833,2024-01-03,1,2024-01,Central,Gear Assemblies,Aluminum 6061,OP-020,MCH-05,Night,150,99,94,5,2,3,0.0505,0.9495,15.0,17.67,17.8,10,10,1,0,12.0,10.31,15.46,55.52,3739.23,34.31,23.2,5218.88,0.2835
ORD-00874,2024-01-03,1,2024-01,North,Hydraulic Valves,Bronze C932,OP-016,MCH-02,Night,75,55,53,2,0,2,0.0364,0.9636,18.0,21.07,17.06,5,5,1,0,22.0,12.29,18.43,77.29,2899.6,0.0,18.43,4096.37,0.2922
ORD-03325,2024-01-03,1,2024-01,South,Gear Assemblies,Aluminum 6061,OP-004,MCH-12,Swing,125,109,105,4,2,2,0.0367,0.9633,15.0,17.45,16.33,5,5,1,0,12.0,10.18,15.27,51.84,4082.05,34.18,15.27,5443.2,0.2501
ORD-01979,2024-01-04,1,2024-01,South,Housing Units,Bronze C932,OP-005,MCH-14,Swing,75,56,54,2,1,1,0.0357,0.9643,22.0,22.65,2.95,10,9,1,0,22.0,13.21,19.82,70.16,3081.68,28.61,9.91,3788.64,0.1866
ORD-01505,2024-01-04,1,2024-01,Central,Gear Assemblies,Bronze C932,OP-016,MCH-02,Swing,75,67,65,2,0,2,0.0299,0.9701,15.0,14.04,-6.4,7,6,1,0,22.0,8.19,12.29,56.5,2846.16,0.0,12.29,3672.5,0.225
ORD-00639,2024-01-04,1,2024-01,North,Precision Bearings,Bronze C932,OP-002,MCH-06,Night,50,40,39,1,0,1,0.025,0.975,12.5,10.9,-12.8,7,7,1,0,22.0,6.36,9.54,56.95,1516.0,0.0,4.77,2221.05,0.3174
ORD-04592,2024-01-04,1,2024-01,North,Housing Units,Aluminum 6061,OP-008,MCH-08,Night,75,55,52,3,1,2,0.0545,0.9455,22.0,20.51,-6.77,14,12,1,0,12.0,11.96,17.94,54.04,2304.5,17.98,17.94,2810.08,0.1799
ORD-01006,2024-01-04,1,2024-01,Central,Precision Bearings,Aluminum 6061,OP-006,MCH-12,Night,50,42,40,2,0,2,0.0476,0.9524,12.5,12.75,2.0,3,2,1,0,12.0,7.44,11.16,40.28,1285.2,0.0,11.16,1611.2,0.2023
ORD-02268,2024-01-04,1,2024-01,South,Housing Units,Bronze C932,OP-002,MCH-11,Day,75,68,67,1,0,1,0.0147,0.9853,22.0,22.3,1.36,7,8,0,0,22.0,13.01,19.52,74.76,3708.04,0.0,9.76,5008.92,0.2597
ORD-03501,2024-01-04,1,2024-01,North,Shaft Components,Steel 4140,OP-013,MCH-14,Swing,75,60,59,1,0,1,0.0167,0.9833,10.0,9.95,-0.5,3,2,1,0,8.5,5.8,8.7,30.18,1380.0,0.0,4.35,1780.62,0.225
ORD-02206,2024-01-04,1,2024-01,Central,Hydraulic Valves,Aluminum 6061,OP-005,MCH-10,Day,75,58,55,3,0,3,0.0517,0.9483,18.0,16.0,-11.11,7,6,1,0,12.0,9.33,14.0,45.79,2049.14,0.0,20.99,2518.45,0.1863
ORD-03360,2024-01-05,1,2024-01,Central,Housing Units,Steel 4140,OP-007,MCH-01,Night,200,150,146,4,1,3,0.0267,0.9733,22.0,21.38,-2.82,14,11,1,0,8.5,12.47,18.71,50.41,5952.0,14.73,28.06,7359.86,0.1913
ORD-01352,2024-01-05,1,2024-01,North,Hydraulic Valves,Bronze C932,OP-003,MCH-15,Night,75,69,65,4,1,3,0.058,0.942,18.0,17.9,-0.56,5,5,1,27,22.0,10.44,15.66,63.56,3318.9,27.22,23.49,4131.4,0.1967
ORD-04752,2024-01-05,1,2024-01,North,Precision Bearings,Titanium Grade 5,OP-009,MCH-10,Day,125,108,104,4,2,2,0.037,0.963,12.5,13.46,7.68,7,7,1,0,45.0,7.85,11.77,86.98,6978.96,97.85,11.77,9045.92,0.2285
ORD-03288,2024-01-05,1,2024-01,North,Shaft Components,Steel 4140,OP-019,MCH-15,Day,150,138,134,4,1,3,0.029,0.971,10.0,10.11,1.1,3,3,1,0,8.5,5.9,8.85,33.07,3208.5,11.45,13.28,4431.38,0.276
ORD-00269,2024-01-05,1,2024-01,South,Shaft Components,Titanium Grade 5,OP-015,MCH-06,Day,150,132,128,4,2,2,0.0303,0.9697,10.0,10.02,0.2,10,9,1,0,45.0,5.84,8.76,75.45,7867.2,95.84,8.76,9657.6,0.1854
ORD-03298,2024-01-05,1,2024-01,North,Precision Bearings,Bronze C932,OP-005,MCH-14,Night,50,36,35,1,0,1,0.0278,0.9722,12.5,11.53,-7.76,14,16,0,1,22.0,6.73,10.1,52.32,1397.88,0.0,5.05,1831.2,0.2366
ORD-02071,2024-01-05,1,2024-01,Central,Precision Bearings,Aluminum 6061,OP-002,MCH-13,Swing,200,193,182,11,6,5,0.057,0.943,12.5,12.66,1.28,7,7,1,0,12.0,7.38,11.07,44.8,5876.85,94.14,27.67,8153.6,0.2792
ORD-01218,2024-01-05,1,2024-01,North,Gear Assemblies,Stainless 316,OP-002,MCH-08,Night,125,86,82,4,1,3,0.0465,0.9535,15.0,13.5,-10.0,5,6,0,0,18.5,7.88,11.82,49.43,3285.2,22.44,17.73,4053.26,0.1895
ORD-04570,2024-01-05,1,2024-01,Central,Precision Bearings,Aluminum 6061,OP-014,MCH-06,Swing,50,38,36,2,1,1,0.0526,0.9474,12.5,11.72,-6.24,10,8,1,5,12.0,6.84,10.26,36.39,1105.8,15.42,5.13,1310.04,0.1559
ORD-03947,2024-01-05,1,2024-01,North,Precision Bearings,Titanium Grade 5,OP-006,MCH-10,Day,50,44,44,0,0,0,0.0,1.0,12.5,13.08,4.64,10,10,1,0,45.0,7.63,11.45,86.88,2819.52,0.0,0.0,3822.72,0.2624
ORD-02969,2024-01-06,1,2024-01,South,Hydraulic Valves,Stainless 316,OP-011,MCH-11,Day,100,78,73,5,2,3,0.0641,0.9359,18.0,17.65,-1.94,7,6,1,2,18.5,10.3,15.45,60.55,3451.5,47.3,23.18,4420.15,0.2191
ORD-00684,2024-01-06,1,2024-01,South,Precision Bearings,Stainless 316,OP-019,MCH-09,Day,75,62,60,2,1,1,0.0323,0.9677,12.5,12.67,1.36,5,6,0,0,18.5,7.39,11.08,52.89,2292.14,22.2,5.54,3173.4,0.2777
ORD-02022,2024-01-06,1,2024-01,North,Gear Assemblies,Titanium Grade 5,OP-014,MCH-03,Night,75,55,53,2,0,2,0.0364,0.9636,15.0,14.14,-5.73,5,5,1,0,45.0,8.25,12.38,94.76,3609.65,0.0,12.38,5022.28,0.2813
ORD-02436,2024-01-06,1,2024-01,South,Housing Units,Aluminum 6061,OP-007,MCH-10,Swing,100,82,79,3,1,2,0.0366,0.9634,22.0,23.74,7.91,10,11,0,0,12.0,13.85,20.77,59.24,3822.84,18.93,20.77,4679.96,0.1831
ORD-01757,2024-01-06,1,2024-01,Central,Housing Units,Titanium Grade 5,OP-009,MCH-03,Night,50,36,35,1,0,1,0.0278,0.9722,22.0,21.16,-3.82,10,9,1,0,45.0,12.34,18.51,101.81,2730.6,0.0,9.25,3563.35,0.2337
ORD-02158,2024-01-06,1,2024-01,Central,Hydraulic Valves,Bronze C932,OP-006,MCH-02,Night,125,104,101,3,1,2,0.0288,0.9712,18.0,22.19,23.28,14,13,1,7,22.0,12.94,19.41,80.34,5652.4,28.47,19.41,8114.34,0.3034
ORD-04978,2024-01-06,1,2024-01,North,Housing Units,Stainless 316,OP-007,MCH-09,Swing,200,163,159,4,1,3,0.0245,0.9755,22.0,18.29,-16.86,3,2,1,0,18.5,10.67,16.0,62.61,7362.71,23.84,24.01,9954.99,0.2604
ORD-02751,2024-01-06,1,2024-01,Central,Gear Assemblies,Steel 4140,OP-010,MCH-06,Day,200,153,147,6,3,3,0.0392,0.9608,15.0,13.02,-13.2,14,10,1,20,8.5,7.59,11.38,35.41,4202.91,36.88,17.08,5205.27,0.1926
ORD-00692,2024-01-07,1,2024-01,North,Hydraulic Valves,Steel 4140,OP-007,MCH-03,Swing,200,168,157,11,5,6,0.0655,0.9345,18.0,18.3,1.67,3,3,1,0,8.5,10.67,16.0,48.83,5908.56,69.17,48.02,7666.31,0.2293
ORD-01601,2024-01-07,1,2024-01,North,Gear Assemblies,Steel 4140,OP-020,MCH-05,Day,50,34,32,2,1,1,0.0588,0.9412,15.0,14.81,-1.27,14,12,1,0,8.5,8.64,12.96,37.88,1023.4,12.82,6.48,1212.16,0.1557
ORD-03129,2024-01-07,1,2024-01,Central,Shaft Components,Bronze C932,OP-016,MCH-05,Swing,125,114,109,5,2,3,0.0439,0.9561,10.0,9.4,-6.0,10,9,1,41,22.0,5.48,8.22,49.17,4069.8,49.48,12.33,5359.53,0.2406
ORD-01626,2024-01-07,1,2024-01,Central,Shaft Components,Titanium Grade 5,OP-014,MCH-05,Swing,50,40,39,1,0,1,0.025,0.975,10.0,8.35,-16.5,10,10,1,0,45.0,4.87,7.3,73.64,2286.8,0.0,3.65,2871.96,0.2037
ORD-02232,2024-01-07,1,2024-01,South,Precision Bearings,Stainless 316,OP-018,MCH-02,Swing,50,40,38,2,0,2,0.05,0.95,12.5,11.23,-10.16,7,4,1,2,18.5,6.55,9.82,43.82,1394.8,0.0,9.82,1665.16,0.1624
ORD-03910,2024-01-07,1,2024-01,South,Gear Assemblies,Steel 4140,OP-007,MCH-07,Night,150,108,103,5,2,3,0.0463,0.9537,15.0,13.71,-8.6,5,5,1,0,8.5,8.0,12.0,40.5,3078.0,25.0,18.0,4171.5,0.2621
ORD-00727,2024-01-07,1,2024-01,South,Gear Assemblies,Titanium Grade 5,OP-018,MCH-12,Night,75,63,61,2,0,2,0.0317,0.9683,15.0,14.29,-4.73,3,3,1,0,45.0,8.34,12.51,98.5,4148.55,0.0,12.51,6008.5,0.3096
ORD-00165,2024-01-07,1,2024-01,South,Shaft Components,Stainless 316,OP-009,MCH-07,Day,125,107,103,4,1,3,0.0374,0.9626,10.0,8.59,-14.1,7,6,1,13,18.5,5.01,7.51,42.47,3319.14,21.0,11.27,4374.41,0.2412
ORD-01168,2024-01-07,1,2024-01,North,Shaft Components,Titanium Grade 5,OP-017,MCH-11,Night,125,98,94,4,2,2,0.0408,0.9592,10.0,10.5,5.0,14,13,1,0,45.0,6.12,9.18,92.53,5909.4,96.12,9.18,8697.82,0.3206
ORD-00544,2024-01-07,1,2024-01,North,Gear Assemblies,Titanium Grade 5,OP-011,MCH-06,Day,200,185,174,11,6,5,0.0595,0.9405,15.0,15.13,0.87,7,7,1,10,45.0,8.83,13.25,101.05,12409.8,296.49,33.11,17582.7,0.2942
ORD-02997,2024-01-08,2,2024-01,Central,Hydraulic Valves,Aluminum 6061,OP-001,MCH-05,Swing,150,125,117,8,2,6,0.064,0.936,18.0,18.57,3.17,5,4,1,17,12.0,10.83,16.25,59.57,4885.0,34.83,48.73,6969.69,0.2991
ORD-03677,2024-01-08,2,2024-01,Central,Hydraulic Valves,Bronze C932,OP-006,MCH-13,Day,50,38,37,1,0,1,0.0263,0.9737,18.0,18.86,4.78,10,10,1,0,22.0,11.0,16.5,73.91,1881.0,0.0,8.25,2734.67,0.3122
ORD-00075,2024-01-08,2,2024-01,South,Shaft Components,Titanium Grade 5,OP-007,MCH-08,Swing,150,140,136,4,1,3,0.0286,0.9714,10.0,9.69,-3.1,5,5,1,0,45.0,5.65,8.48,77.59,8278.2,47.83,12.71,10552.24,0.2155
ORD-02018,2024-01-08,2,2024-01,Central,Hydraulic Valves,Titanium Grade 5,OP-008,MCH-01,Swing,125,81,76,5,2,3,0.0617,0.9383,18.0,16.89,-6.17,3,3,1,0,45.0,9.85,14.77,93.14,5639.22,99.85,22.16,7078.64,0.2033
ORD-03756,2024-01-08,2,2024-01,North,Gear Assemblies,Aluminum 6061,OP-011,MCH-04,Swing,50,42,41,1,0,1,0.0238,0.9762,15.0,14.43,-3.8,10,11,0,0,12.0,8.42,12.63,50.77,1388.1,0.0,6.31,2081.57,0.3331
ORD-03751,2024-01-08,2,2024-01,Central,Hydraulic Valves,Titanium Grade 5,OP-004,MCH-07,Night,125,90,83,7,3,4,0.0778,0.9222,18.0,17.29,-3.94,5,5,1,14,45.0,10.09,15.13,95.99,6319.8,150.13,30.27,7967.17,0.2068
ORD-02935,2024-01-08,2,2024-01,South,Hydraulic Valves,Titanium Grade 5,OP-007,MCH-11,Day,125,101,95,6,3,3,0.0594,0.9406,18.0,17.89,-0.61,7,6,1,0,45.0,10.44,15.66,103.17,7181.1,150.66,23.49,9801.15,0.2673
ORD-02035,2024-01-08,2,2024-01,South,Gear Assemblies,Aluminum 6061,OP-008,MCH-04,Swing,50,43,42,1,0,1,0.0233,0.9767,15.0,17.47,16.47,14,13,1,41,12.0,10.19,15.29,51.51,1611.64,0.0,7.64,2163.42,0.255
ORD-01962,2024-01-09,2,2024-01,North,Gear Assemblies,Steel 4140,OP-005,MCH-01,Night,100,80,77,3,1,2,0.0375,0.9625,15.0,16.82,12.13,7,6,1,0,8.5,9.81,14.71,45.64,2641.6,13.41,14.71,3514.28,0.2483
ORD-03405,2024-01-09,2,2024-01,North,Housing Units,Steel 4140,OP-003,MCH-01,Day,50,39,39,0,0,0,0.0,1.0,22.0,21.76,-1.09,5,5,1,0,8.5,12.69,19.04,57.12,1568.97,0.0,0.0,2227.68,0.2957
ORD-01665,2024-01-09,2,2024-01,Central,Precision Bearings,Aluminum 6061,OP-002,MCH-02,Day,50,45,42,3,1,2,0.0667,0.9333,12.5,13.33,6.64,14,10,1,0,12.0,7.78,11.67,41.36,1415.25,15.89,11.67,1737.12,0.1853
ORD-04059,2024-01-09,2,2024-01,Central,Hydraulic Valves,Bronze C932,OP-018,MCH-12,Day,150,117,111,6,2,4,0.0513,0.9487,18.0,19.85,10.28,14,11,1,0,22.0,11.58,17.37,66.53,5961.15,55.58,34.74,7384.83,0.1928
ORD-03789,2024-01-09,2,2024-01,Central,Hydraulic Valves,Steel 4140,OP-005,MCH-12,Swing,100,79,74,5,2,3,0.0633,0.9367,18.0,18.03,0.17,14,12,1,0,8.5,10.52,15.78,46.45,2749.2,27.52,23.67,3437.3,0.2002
ORD-03922,2024-01-09,2,2024-01,Central,Shaft Components,Stainless 316,OP-014,MCH-05,Night,100,80,77,3,1,2,0.0375,0.9625,10.0,9.97,-0.3,3,2,1,0,18.5,5.82,8.73,48.0,2644.0,21.41,8.73,3696.0,0.2846
ORD-02419,2024-01-09,2,2024-01,Central,Shaft Components,Aluminum 6061,OP-012,MCH-04,Swing,100,86,85,1,0,1,0.0116,0.9884,10.0,10.39,3.9,7,7,1,39,12.0,6.06,9.09,34.6,2334.9,0.0,4.54,2941.0,0.2061
ORD-03378,2024-01-09,2,2024-01,North,Shaft Components,Stainless 316,OP-003,MCH-03,Night,150,129,125,4,2,2,0.031,0.969,10.0,8.19,-18.1,7,7,1,19,18.5,4.78,7.17,38.99,3928.05,41.78,7.17,4873.75,0.194
ORD-01572,2024-01-09,2,2024-01,South,Shaft Components,Bronze C932,OP-002,MCH-05,Swing,50,44,43,1,0,1,0.0227,0.9773,10.0,10.14,1.4,3,3,1,2,22.0,5.92,8.88,46.86,1619.2,0.0,4.44,2014.98,0.1964
ORD-03194,2024-01-09,2,2024-01,Central,Precision Bearings,Bronze C932,OP-017,MCH-06,Day,75,59,56,3,1,2,0.0508,0.9492,12.5,11.9,-4.8,3,3,1,46,22.0,6.94,10.41,51.59,2321.65,25.47,10.41,2889.04,0.1964
ORD-00667,2024-01-10,2,2024-01,Central,Housing Units,Titanium Grade 5,OP-004,MCH-07,Day,50,40,39,1,0,1,0.025,0.975,22.0,22.64,2.91,14,11,1,0,45.0,13.21,19.82,112.54,3121.2,0.0,9.91,4389.06,0.2889
ORD-00717,2024-01-10,2,2024-01,Central,Precision Bearings,Steel 4140,OP-001,MCH-10,Day,75,62,60,2,0,2,0.0323,0.9677,12.5,12.01,-3.92,10,8,1,0,8.5,7.01,10.52,32.87,1613.86,0.0,10.52,1972.2,0.1817
ORD-03056,2024-01-10,2,2024-01,Central,Housing Units,Stainless 316,OP-006,MCH-05,Swing,75,60,57,3,1,2,0.05,0.95,22.0,27.16,23.45,10,9,1,0,18.5,15.84,23.76,80.59,3486.0,26.42,23.76,4593.63,0.2411
ORD-01956,2024-01-10,2,2024-01,South,Gear Assemblies,Steel 4140,OP-020,MCH-13,Swing,150,123,119,4,1,3,0.0325,0.9675,15.0,16.15,7.67,3,3,1,0,8.5,9.42,14.13,48.24,3942.15,13.21,21.2,5740.56,0.3133
ORD-00557,2024-01-10,2,2024-01,North,Shaft Components,Stainless 316,OP-003,MCH-13,Day,150,130,128,2,0,2,0.0154,0.9846,10.0,10.26,2.6,14,13,1,0,18.5,5.98,8.97,42.63,4348.5,0.0,8.97,5456.64,0.2031
ORD-01596,2024-01-10,2,2024-01,Central,Precision Bearings,Aluminum 6061,OP-017,MCH-07,Night,75,57,55,2,0,2,0.0351,0.9649,12.5,10.83,-13.36,7,7,1,0,12.0,6.32,9.48,40.83,1584.6,0.0,9.48,2245.65,0.2944
ORD-02307,2024-01-10,2,2024-01,Central,Shaft Components,Titanium Grade 5,OP-017,MCH-15,Swing,150,115,110,5,2,3,0.0435,0.9565,10.0,10.39,3.9,3,3,1,0,45.0,6.06,9.09,82.59,6917.25,96.06,13.63,9084.9,0.2386
ORD-00861,2024-01-10,2,2024-01,Central,Hydraulic Valves,Stainless 316,OP-019,MCH-11,Swing,50,40,38,2,0,2,0.05,0.95,18.0,15.74,-12.56,7,8,0,0,18.5,9.18,13.77,58.26,1658.0,0.0,13.77,2213.88,0.2511
ORD-00176,2024-01-10,2,2024-01,South,Housing Units,Aluminum 6061,OP-015,MCH-02,Night,100,78,76,2,0,2,0.0256,0.9744,22.0,18.91,-14.05,14,12,1,5,12.0,11.03,16.54,51.54,3086.46,0.0,16.54,3917.04,0.212
ORD-00183,2024-01-10,2,2024-01,Central,Shaft Components,Stainless 316,OP-009,MCH-08,Day,125,117,115,2,0,2,0.0171,0.9829,10.0,9.75,-2.5,5,4,1,0,18.5,5.69,8.54,48.65,3829.41,0.0,8.54,5594.75,0.3155
ORD-02670,2024-01-10,2,2024-01,South,Shaft Components,Stainless 316,OP-002,MCH-04,Swing,75,57,57,0,0,0,0.0,1.0,10.0,10.98,9.8,3,2,1,0,18.5,6.41,9.62,43.55,1968.21,0.0,0.0,2482.35,0.2071
ORD-01734,2024-01-10,2,2024-01,South,Precision Bearings,Aluminum 6061,OP-003,MCH-01,Night,150,131,128,3,0,3,0.0229,0.9771,12.5,13.35,6.8,7,6,1,0,12.0,7.79,11.69,45.91,4123.88,0.0,17.53,5876.48,0.2982
ORD-00909,2024-01-10,2,2024-01,North,Gear Assemblies,Stainless 316,OP-020,MCH-10,Night,200,154,145,9,4,5,0.0584,0.9416,15.0,15.24,1.6,14,11,1,0,18.5,8.89,13.34,61.33,6272.42,91.78,33.34,8892.85,0.2947
ORD-01112,2024-01-10,2,2024-01,Central,Hydraulic Valves,Stainless 316,OP-013,MCH-02,Swing,200,157,145,12,4,8,0.0764,0.9236,18.0,16.27,-9.61,5,5,1,0,18.5,9.49,14.23,63.22,6628.54,92.98,56.94,9166.9,0.2769
ORD-01180,2024-01-10,2,2024-01,South,Precision Bearings,Aluminum 6061,OP-012,MCH-11,Day,100,85,80,5,2,3,0.0588,0.9412,12.5,12.09,-3.28,5,4,1,58,12.0,7.05,10.57,43.75,2517.7,31.05,15.86,3500.0,0.2807
ORD-02486,2024-01-10,2,2024-01,South,Hydraulic Valves,Aluminum 6061,OP-011,MCH-05,Swing,50,37,35,2,0,2,0.0541,0.9459,18.0,19.54,8.56,5,4,1,0,12.0,11.4,17.1,56.49,1498.5,0.0,17.1,1977.15,0.2421
ORD-04154,2024-01-11,2,2024-01,Central,Gear Assemblies,Aluminum 6061,OP-020,MCH-03,Night,100,77,73,4,2,2,0.0519,0.9481,15.0,15.71,4.73,5,5,1,0,12.0,9.16,13.74,48.92,2687.3,33.16,13.74,3571.16,0.2475
ORD-04665,2024-01-11,2,2024-01,Central,Hydraulic Valves,Bronze C932,OP-008,MCH-11,Day,200,156,143,13,6,7,0.0833,0.9167,18.0,17.93,-0.39,5,4,1,0,22.0,10.46,15.69,69.94,7511.4,163.38,54.91,10001.42,0.249
ORD-01262,2024-01-11,2,2024-01,South,Shaft Components,Aluminum 6061,OP-006,MCH-12,Day,125,112,110,2,0,2,0.0179,0.9821,10.0,8.5,-15.0,10,9,1,8,12.0,4.96,7.44,36.44,2732.8,0.0,7.44,4008.4,0.3182
ORD-02546,2024-01-11,2,2024-01,North,Hydraulic Valves,Stainless 316,OP-010,MCH-06,Day,150,117,110,7,2,5,0.0598,0.9402,18.0,17.63,-2.06,5,4,1,0,18.5,10.28,15.42,55.39,5171.4,47.28,38.55,6092.9,0.1512
